iter	RMSE
212	4.794225644
213	4.792390924
214	4.79020115
215	4.786601598
216	4.784144108
217	4.779428794
218	4.777785522
219	4.772293956
220	4.768442355
221	4.765313553
222	4.762704927
223	4.760477571
224	4.757479033
225	4.756396493
226	4.75201055
227	4.750207644
228	4.747928637
229	4.744631511
230	4.742944451
231	4.741471775
232	4.739736625
233	4.734223907
234	4.731627787
235	4.728950337
236	4.723790348
237	4.720880911
238	4.718030918
239	4.716497511
240	4.711892822
241	4.708195665
242	4.702185266
243	4.698250357
244	4.694494615
245	4.688813957
246	4.683494787
247	4.680144959
248	4.678994073
249	4.677822307
250	4.671193456
251	4.668749544
252	4.663794621
253	4.661725535
254	4.657166411
255	4.653828395
256	4.650080187
257	4.64827011
258	4.644558989
259	4.641153918
260	4.635295202
261	4.630772695
262	4.626581439
263	4.621614272
264	4.619310353
265	4.614674581
266	4.611868591
267	4.608397444
268	4.60440968
269	4.601368187
270	4.599991515
271	4.595808468
272	4.593810641
273	4.591247478
274	4.587565236
275	4.58398718
276	4.580437359
277	4.577955233
278	4.576504301
279	4.575155718
280	4.572107479
281	4.566125121
282	4.565442311
283	4.563299998
284	4.562829794
285	4.557919523
286	4.555122807
287	4.553337538
288	4.549728675
289	4.545882525
290	4.542974579
291	4.538098392
292	4.533665846
293	4.530228157
294	4.527806223
295	4.522136119
296	4.51993894
297	4.518550155
298	4.515417056
299	4.510821158
300	4.506087022
301	4.501539367
302	4.497833059
303	4.495713072
304	4.48808838
305	4.48435268
306	4.479675411
307	4.476343401
308	4.473353295
309	4.467564474
310	4.464630057
311	4.459050555
312	4.454803977
313	4.449804343
314	4.446700457
315	4.44414821
316	4.443174114
317	4.43802099
318	4.433655157
319	4.430212777
320	4.426453833
321	4.423720373
322	4.419996385
323	4.417233485
324	4.412576908
325	4.41183414
326	4.407281221
327	4.402129253
328	4.397022075
329	4.394608489
330	4.391462995
331	4.389173917
332	4.387054636
333	4.383190676
334	4.379746481
335	4.375694565
336	4.370416586
337	4.369160739
338	4.363995044
339	4.361823634
340	4.35614722
341	4.350813062
342	4.347818276
343	4.345741392
344	4.344310959
345	4.342122516
346	4.341037299
347	4.33641262
348	4.332202606
349	4.326675256
350	4.32488614
351	4.321578142
352	4.320863786
353	4.318242855
354	4.313681972
355	4.312578032
356	4.309476478
357	4.306196692
358	4.301796029
359	4.297109413
360	4.293603136
361	4.288992324
362	4.284885682
363	4.282227549
364	4.280917064
365	4.277275566
366	4.274703483
367	4.271844567
368	4.265307521
369	4.261968858
370	4.259371198
371	4.255524401
372	4.252233216
373	4.250034679
374	4.246847531
375	4.244534398
376	4.241284724
377	4.237467733
378	4.23443089
379	4.232359084
380	4.229331224
381	4.225687801
382	4.221839276
383	4.218920071
384	4.216475835
385	4.214880734
386	4.208977152
387	4.207365843
388	4.20262598
389	4.201772939
390	4.199797848
391	4.19712409
392	4.195370002
393	4.192631097
394	4.188308491
395	4.184393638
396	4.183657034
397	4.181686206
398	4.17739877
399	4.176365873
400	4.174051708
401	4.169197433
402	4.16465384
403	4.16436635
404	4.161328433
405	4.159815394
406	4.156979418
407	4.155386596
408	4.151769987
409	4.145719982
410	4.140139167
411	4.137838427
412	4.133228289
413	4.132246918
414	4.128630501
415	4.127821689
416	4.124506454
417	4.120204689
418	4.117090613
419	4.115180078
420	4.11102878
421	4.10698552
422	4.105183283
423	4.101302088
424	4.09665739
425	4.092364973
426	4.091397007
427	4.089286818
428	4.086296187
429	4.080305896
430	4.078367359
431	4.075662344
432	4.072598808
433	4.071290696
434	4.068793673
435	4.066779312
436	4.061931753
437	4.058020532
438	4.054495369
439	4.052407989
440	4.048380931
441	4.046872817
442	4.043946534
443	4.04011355
444	4.038183606
445	4.03730588
446	4.032852467
447	4.027867445
448	4.02660732
449	4.024801575
450	4.022196138
451	4.020986469
452	4.020078848
453	4.017342985
454	4.013796049
455	4.011760133
456	4.010400467
457	4.008615109
458	4.006029296
459	4.002724666
460	4.000525753
461	3.996876355
462	3.994404427
463	3.991107555
464	3.988916357
465	3.986307606
466	3.984335896
467	3.98361093
468	3.982478543
469	3.979646431
470	3.975533747
471	3.972400472
472	3.970177322
473	3.969306555
474	3.967158739
475	3.965166727
476	3.963823238
477	3.962410417
478	3.957546583
479	3.955747106
480	3.952063283
481	3.947993062
482	3.945927145
483	3.941954526
484	3.940201168
485	3.939405416
486	3.936970776
487	3.934261478
488	3.932230672
489	3.930609009
490	3.927757219
491	3.925332157
492	3.924324064
493	3.921824785
494	3.92066232
495	3.920065901
496	3.919564253
497	3.916406231
498	3.914016492
499	3.911219072
500	3.910417954
501	3.909515166
502	3.908194975
503	3.905328825
504	3.903296426
505	3.897435147
506	3.895760767
507	3.894661563
508	3.891419617
509	3.890301207
510	3.888720806
511	3.886525936
512	3.880655997
513	3.877305599
514	3.87513877
515	3.872675208
516	3.871992168
517	3.868700381
518	3.86640416
519	3.860923209
520	3.859530572
521	3.85523631
522	3.852495507
523	3.850076441
524	3.846349418
525	3.842442103
526	3.838335397
527	3.836613581
528	3.833910832
529	3.830128697
530	3.825091623
531	3.82274622
532	3.819618946
533	3.819048202
534	3.816840647
535	3.814128295
536	3.811380761
537	3.809133932
538	3.805336879
539	3.80296299
540	3.800809808
541	3.798830394
542	3.796694349
543	3.79566678
544	3.793541254
545	3.791323422
546	3.788620939
547	3.788001362
548	3.7853678
549	3.781486949
550	3.778381996
551	3.776177239
552	3.773696125
553	3.770872798
554	3.76910279
555	3.767444523
556	3.765482402
557	3.762480932
558	3.761019151
559	3.760557581
560	3.759781652
561	3.757126485
562	3.755979217
563	3.755444251
564	3.754802586
565	3.751537284
566	3.748758996
567	3.74824975
568	3.745434472
569	3.74104628
570	3.739699833
571	3.735428527
572	3.732534029
573	3.729256974
574	3.726158122
575	3.723059252
576	3.721666792
577	3.718149918
578	3.716255442
579	3.715783863
580	3.713625657
581	3.71122587
582	3.710600947
583	3.708929243
584	3.707386152
585	3.705206523
586	3.699542939
587	3.697068513
588	3.694033507
589	3.693354023
590	3.69167526
591	3.687833582
592	3.685001484
593	3.682074803
594	3.680125214
595	3.677076864
596	3.674600709
597	3.671897605
598	3.671411158
599	3.669995773
600	3.668841468
601	3.668480605
602	3.667943116
603	3.666839345
604	3.665241112
605	3.664143561
606	3.662846634
607	3.659226341
608	3.655198295
609	3.654846027
610	3.653756504
611	3.650735624
612	3.649322176
613	3.64870202
614	3.646588413
615	3.643225459
616	3.64081183
617	3.639074942
618	3.635995525
619	3.635807072
620	3.633569102
621	3.630739662
622	3.627197738
623	3.625622746
624	3.623608822
625	3.62083757
626	3.617524816
627	3.616520915
628	3.614453097
629	3.612378382
630	3.60929272
631	3.60718812
632	3.605000468
633	3.602397734
634	3.601185102
635	3.600365729
636	3.599569569
637	3.597245591
638	3.595568923
639	3.594254305
640	3.591765503
641	3.589737057
642	3.588008696
643	3.585933975
644	3.584184663
645	3.581406712
646	3.579657566
647	3.577273034
648	3.57437824
649	3.573465715
650	3.573118462
651	3.570608042
652	3.569223606
653	3.565781479
654	3.564091443
655	3.561762426
656	3.559521348
657	3.555086306
658	3.554687008
659	3.551513712
660	3.548849124
661	3.54764645
662	3.546116843
663	3.545623159
664	3.541361585
665	3.538813896
666	3.535907588
667	3.53501723
668	3.532901979
669	3.531191956
670	3.529531526
671	3.526548962
672	3.526219836
673	3.52496101
674	3.523062201
675	3.521001971
676	3.520714032
677	3.519337158
678	3.517126914
679	3.51507194
680	3.51432173
681	3.51259073
682	3.506758934
683	3.505334485
684	3.50462617
685	3.502744116
686	3.499554078
687	3.498655335
688	3.496523557
689	3.495583263
690	3.494825355
691	3.491950502
692	3.489888316
693	3.48630876
694	3.485197941
695	3.482956785
696	3.480748816
697	3.478161736
698	3.477702461
699	3.47689343
700	3.473380279
701	3.470027581
702	3.469698696
703	3.466192021
704	3.464341636
705	3.462726822
706	3.45904878
707	3.456629885
708	3.455702286
709	3.451113373
710	3.449348129
711	3.44735374
712	3.44501115
713	3.443973191
714	3.443073198
715	3.441173271
716	3.439849357
717	3.43919371
718	3.438478779
719	3.437558099
720	3.43559458
721	3.434626483
722	3.430254399
723	3.428796626
724	3.427018346
725	3.424523935
726	3.422986816
727	3.418188776
728	3.416571464
729	3.415202094
730	3.414654412
731	3.412612584
732	3.411661625
733	3.411344601
734	3.410356238
735	3.409713277
736	3.408707121
737	3.407833165
738	3.407164364
739	3.406899561
740	3.403997475
741	3.400298233
742	3.39777411
743	3.395879298
744	3.395412973
745	3.394945691
746	3.392921957
747	3.392324993
748	3.389113465
749	3.388851128
750	3.386156823
751	3.384728176
752	3.383915329
753	3.382268547
754	3.37977539
755	3.379083719
756	3.377297637
757	3.376143393
758	3.375656051
759	3.374963515
760	3.373475597
761	3.372176484
762	3.371046611
763	3.368761416
764	3.368517698
765	3.367719427
766	3.367020016
767	3.363713724
768	3.361932687
769	3.359864893
770	3.359228875
771	3.35635173
772	3.35428266
773	3.351595328
774	3.350687963
775	3.349341251
776	3.347631283
777	3.345009095
778	3.342388717
779	3.340418836
780	3.338180143
781	3.333629373
782	3.330316026
783	3.329572553
784	3.329002034
785	3.326756505
786	3.326169767
787	3.322541052
788	3.321522555
789	3.320819785
790	3.320576363
791	3.319581719
792	3.317715354
793	3.315522843
794	3.315168741
795	3.313710969
796	3.310695006
797	3.308535083
798	3.305336953
799	3.30452665
800	3.303028297
801	3.302205043
802	3.30030908
803	3.296944288
804	3.296049205
805	3.294694588
806	3.292862923
807	3.291735326
808	3.29036001
809	3.289769796
810	3.288749611
811	3.28814427
812	3.286242459
813	3.284909059
814	3.282108943
815	3.28209384
816	3.279222403
817	3.279039306
818	3.277657039
819	3.275146078
820	3.274404987
821	3.272946234
822	3.271764809
823	3.271539658
824	3.269518882
825	3.269153446
826	3.265172563
827	3.263732301
828	3.262947232
829	3.261022782
830	3.25748267
831	3.254429905
832	3.253412997
833	3.25254004
834	3.252012853
835	3.249097701
836	3.248874995
837	3.246261488
838	3.244274664
839	3.242648959
840	3.23954533
841	3.23761783
842	3.235308905
843	3.23232701
844	3.230312757
845	3.230026828
846	3.226757725
847	3.226548763
848	3.225755863
849	3.223755364
850	3.223436034
851	3.219613922
852	3.217881724
853	3.217639762
854	3.216730964
855	3.215639166
856	3.210703468
857	3.209372375
858	3.20655631
859	3.204956043
860	3.203311007
861	3.203003958
862	3.20175271
863	3.199539253
864	3.198170737
865	3.19776207
866	3.197567691
867	3.19582416
868	3.194347627
869	3.193262944
870	3.19264718
871	3.191138521
872	3.188839827
873	3.187384207
874	3.186394516
875	3.184366999
876	3.183502917
877	3.182233625
878	3.181550523
879	3.179683791
880	3.178761035
881	3.176313653
882	3.174665151
883	3.17380307
884	3.170140403
885	3.169750671
886	3.167619047
887	3.16539235
888	3.164517578
889	3.162810933
890	3.159120064
891	3.157944483
892	3.154132683
893	3.152582325
894	3.151716303
895	3.15047169
896	3.148995245
897	3.148898379
898	3.148158656
899	3.147954694
900	3.146206638
901	3.145534843
902	3.14496385
903	3.1431482
904	3.141261555
905	3.139082707
906	3.137391439
907	3.136908665
908	3.132800917
909	3.129987896
910	3.127467927
911	3.126942264
912	3.124574122
913	3.124272699
914	3.123127552
915	3.121820247
916	3.119196471
917	3.119078528
918	3.117847506
919	3.117566397
920	3.117386659
921	3.116135649
922	3.11495474
923	3.11275476
924	3.111935771
925	3.110578814
926	3.109732271
927	3.107927377
928	3.106034759
929	3.104085983
930	3.102599585
931	3.101651018
932	3.101182031
933	3.100712752
934	3.099067327
935	3.09572794
936	3.095211564
937	3.09430769
938	3.09280657
939	3.089099598
940	3.087987498
941	3.087517367
942	3.084796026
943	3.082835163
944	3.081283048
945	3.080113662
946	3.07765916
947	3.077484332
948	3.075104907
949	3.072653185
950	3.07174661
951	3.070839722
952	3.070748491
953	3.06719832
954	3.064258107
955	3.063183823
956	3.061811482
957	3.060624259
958	3.058613956
959	3.057025154
960	3.054184046
961	3.053246499
962	3.051607659
963	3.050294281
964	3.048016837
965	3.04699592
966	3.04632625
967	3.045672269
968	3.043669975
969	3.043158686
970	3.041527144
971	3.040977978
972	3.039484619
973	3.038305807
974	3.037259105
975	3.036060113
976	3.035637897
977	3.034662913
978	3.03122091
979	3.03040036
980	3.027537677
981	3.026199687
982	3.024288124
983	3.021389797
984	3.019058286
985	3.018340716
986	3.017313455
987	3.015940659
988	3.013249168
989	3.012918615
990	3.008393822
991	3.007610589
992	3.006643876
993	3.005134042
994	3.004849157
995	3.002521366
996	3.001166274
997	2.99881002
998	2.997123014
999	2.99595836
